label,sublabel,description,styles,bgcolor
可燃（燃やすごみ）,,,img/moyasu02.svg,#733b96
不燃（不燃物）,,,img/moyasanai02.svg,#ea3b13
不燃（ガラスびん）,,,img/moyasanai02.svg,#ea3b13
不燃（有害物）,,,img/moyasanai02.svg,#ea3b13
資源（古紙類）,,,img/shigen02.svg,#77ae1f
資源（缶類）,,,img/shigen02.svg,#77ae1f
資源（ペットボトル）,,,img/shigen02.svg,#77ae1f
資源（廃食用油）,,,img/shigen02.svg,#77ae1f
資源（衣類・古布）,,,img/shigen02.svg,#77ae1f
容器包装プラスチック,,,img/moyasanai02.svg,#733b96
粗大ごみ,,,img/moyasanai02.svg,#733b96
排出禁止物,,,img/moyasanai02.svg,#733b96
家電リサイクル法対象品,,,img/moyasanai02.svg,#733b96
